ParticipantID,Experiment,WeightedRating,PartNormalizedRating,Z_Score,ZScoreRating,PartZScoreRating
2,CX,38.67,1,0.267143729052056,0,1.9137993222194
3,CX,10,0.085726532361766,-1.15568969894006,0,-0.575347034871644
4,CX,23.33,1,-0.494149078251715,0,1.93895154669961
5,CX,50,0.670907709836688,0.829428442660382,0,0.475951839592232
6,CX,37.33,0.797113402061856,0.200642271308441,0,0.703292927050252
7,CX,8.67,0.272851296043656,-1.22169487714828,0,-0.254644686313407
8,CX,62.67,0.815413013382557,1.45821461401232,0,0.506267194350638
9,CX,29.33,0.28562245553889,-0.196381357011648,0,-0.716140002341975
10,CX,68.67,1,1.75598233525239,0,1.50188153672819
11,CX,13.33,0.153402537485582,-0.990428613651826,0,-0.387041348578143
12,CX,50.67,0.578157956409656,0.86267917153219,0,0.0145628137336711
13,CX,26,0.428609697294401,-0.361642442299885,0,0.424991083169561
14,CX,62,1,1.42496388514052,0,1.63845181683604
15,CX,47,0,0.680544582040349,0,-1.35716642910945
16,CX,8.67,0.215882352941176,-1.22169487714828,0,-0.227398659158371
17,CX,48.67,0.588235294117647,0.763423264452168,0,0.509994307450213
18,CX,50,0.678628816282807,0.829428442660382,0,0.169249969389894
19,CX,39.33,0.892222478652204,0.299898178388464,0,0.998105862436028
20,CX,64,1,1.52421979222054,0,1.24674794282637
1,CY,65.33,1,1.59022497042875,0,1.3425320550946
2,CY,14.67,0.234205488194001,-0.923927155908211,0,-0.288079092606371
3,CY,8,0,-1.25494560602009,0,-0.821974667700886
4,CY,8.67,0.0437051532941944,-1.22169487714828,0,-0.549171596007831
5,CY,28,0.253133308013673,-0.262386535219862,0,-0.74565788202783
6,CY,20.67,0.110103092783505,-0.626159434668144,0,-1.03954645145804
7,CY,6.67,0,-1.3209507842283,0,-1.02131686016022
8,CY,58.67,0.723119520073835,1.25970279985228,0,0.22281425610193
9,CY,42.67,0.571459181487037,0.465655543212101,0,0.0493493911870271
10,CY,40.67,0.424696938565852,0.366399636132079,0,-0.0978618532980334
11,CY,20.67,1,-0.626159434668144,0,1.90135732690459
12,CY,48.67,0.531286618232951,0.763423264452168,0,-0.136458958319214
13,CY,15.33,0.142780605411197,-0.891172706571804,0,-0.39586704980004
14,CY,42.67,0.3959375,0.465655543212101,0,-0.149442661680771
15,CY,68.67,0.915504858470638,1.75598233525239,0,1.17379712672547
16,CY,8.67,0.215882352941176,-1.22169487714828,0,-0.227398659158371
17,CY,22,0.196029411764706,-0.560154256459929,0,-0.721074185669522
18,CY,50,0.678628816282807,0.829428442660382,0,0.169249969389894
19,CY,2.67,0.0461573967228248,-1.51946259838834,0,-1.01378579115233
20,CY,53.33,0.618928571428571,0.994689527948619,0,0.313592277432027
1,CZ,45.33,0.594567200486519,0.59766589962853,0,0.137541109375636
2,CZ,13.33,0.1914486279515,-0.990428613651826,0,-0.41101730410081
3,CZ,16.67,0.371624517788256,-0.824671248828189,0,0.247156120613876
4,CZ,8,0,-1.25494560602009,0,-0.662885273061991
5,CZ,50,0.670907709836688,0.829428442660382,0,0.475951839592232
6,CZ,26,0.329896907216495,-0.361642442299885,0,-0.481963384984501
7,CZ,14,1,-0.957177884780018,0,1.78853665698836
8,CZ,60.67,0.769266266728196,1.3589587069323,0,0.364540725226284
9,CZ,59.33,0.928433683308335,1.29245724918869,0,1.00535038790316
10,CZ,26.67,0.137045407848778,-0.328391713428077,0,-0.897733548311145
11,CZ,12.67,0.077277970011534,-1.02318306298823,0,-0.59281016680956
12,CZ,68.67,1,1.75598233525239,0,1.37375876220964
13,CZ,47.33,1,0.696921806708553,0,2.06593803501976
14,CZ,37.33,0.2290625,0.200642271308441,0,-0.643356604530215
15,CZ,57.33,0.436417405999155,1.19320134210866,0,-0.15066649686327
16,CZ,1.33,0,-1.58596405613196,0,-0.87721751942295
17,CZ,42.67,0.5,0.465655543212101,0,0.233038515972207
18,CZ,50,0.678628816282807,0.829428442660382,0,0.169249969389894
19,CZ,33.33,0.753750288483729,0.00213045714839674,0,0.668827359393744
20,CZ,36,0,0.134637093100227,0,-1.20202043871455
